Date,Open,High,Low,Close,Volume,Adj Close
6/27/2007,430.7,456,430.7,440.1,7600,106.955
6/26/2007,437.9,438,426.1,435.5,3900,105.837
6/25/2007,436,441,432,434.15,2600,105.509
6/22/2007,436.5,440,430,431.1,4500,104.768
6/21/2007,450,450,430.05,438,6600,106.445
6/20/2007,427,442.15,427,439.5,22700,106.809
6/19/2007,425,425,418.5,421,1000,102.313
6/18/2007,420,428.5,415.25,428.5,10000,104.136
6/15/2007,425,432,424,432,10800,104.987
6/14/2007,420,429.5,420,424.5,16800,103.164
6/13/2007,425.05,433,412.05,412.05,19000,100.138
6/12/2007,420,429,409,424.55,11300,103.176
6/11/2007,411,429.3,405,417.55,39900,101.475
6/8/2007,393,411,393,411,24700,99.883
6/7/2007,410,414,406,409,3700,99.397
6/6/2007,413.35,421,401,415,11700,100.855
6/5/2007,420,420,410.3,413.35,1800,100.454
6/4/2007,419.95,420,416,418.9,3400,101.803
5/31/2007,430,432,421.5,427.75,16400,103.954
5/30/2007,414.55,430,414.55,430,9700,104.501
5/29/2007,425.5,428.5,412,414.55,8200,100.746
5/28/2007,412.95,430,412.95,424.7,12000,103.213
5/25/2007,415,419.8,412.05,413.15,1400,100.406
5/24/2007,415,420.5,415,416.15,4900,101.135
5/23/2007,420.05,425,415.65,422.95,10100,102.787
5/22/2007,413,432.45,411.5,422,15300,102.556
5/21/2007,408,420,400.95,414.3,11600,100.685
5/18/2007,408,411,401.5,405,3800,98.425
5/17/2007,410,414.7,403.15,404.5,3300,98.303
5/16/2007,414,414,402.1,403,4500,97.939
5/15/2007,415,415,403.5,404,4000,98.182
5/14/2007,412,415,397.2,400,3600,97.21
5/11/2007,386,412,386,407,4500,98.911
5/10/2007,405,414.9,399.1,407,3600,98.911
5/9/2007,396,406.9,395,405,4100,98.425
5/8/2007,408.75,410,395,395.25,4800,96.055
5/7/2007,415.05,421,406.2,408.75,10300,99.336
5/4/2007,396.9,411.4,389,411.4,16100,99.98
5/3/2007,392,405,386.05,391,5000,95.023
4/30/2007,390,394.9,386,390.15,2700,94.816
4/27/2007,402,404.95,385,390,11400,94.78
4/26/2007,416.25,416.25,396.75,399.15,12600,97.003
4/25/2007,420,432,410,415.5,15300,100.977
4/24/2007,430,444.4,419.2,423.75,102600,102.982
4/23/2007,410.9,423.25,405,423.25,45200,102.86
4/20/2007,380.1,384.8,380,384.8,21200,93.516
4/19/2007,334,361,334,353,3400,85.788
4/18/2007,371.05,371.05,356.95,358.1,5000,87.027
4/17/2007,340,379.65,340,371.95,12400,90.393
4/16/2007,330.05,347,330.05,347,12200,84.33
4/13/2007,332.05,343.1,332,340.55,700,82.762
4/12/2007,348.7,348.7,333.05,341,2200,82.871
4/11/2007,320,345,320,338,1600,82.142
4/10/2007,325,332,325,332,1200,80.684
4/9/2007,324.95,326,318,325,1300,78.983
4/5/2007,333,333,317.3,322.2,80000,78.303
4/4/2007,332,332,319.65,326,1100,79.226
4/3/2007,304.05,330,296.6,323,4200,78.497
4/2/2007,309,309,302,307.05,900,74.621
3/30/2007,310.55,311.05,307.05,307.55,3600,74.742
3/29/2007,310,310,307,307.05,1300,74.621
3/28/2007,303.05,314,303.05,310,2400,75.338
3/26/2007,317,317,307,311.75,1700,75.763
3/23/2007,312,313,303,310.75,2900,75.52
3/22/2007,314.9,319,308.15,315,2500,76.553
3/21/2007,310,314,309,309,1700,75.095
3/20/2007,310,313.1,310,310,500,75.338
3/19/2007,304.3,314.3,304.15,306.2,300,74.414
3/16/2007,323,323,304,310.25,3300,75.398
3/15/2007,320,329,319,319.1,500,77.549
3/14/2007,312,324,312,321,900,78.011
3/13/2007,311,325,310,325,600,78.983
3/12/2007,326,328.95,311.25,316,2300,76.796
3/9/2007,329,329,315.55,327,1800,79.469
3/8/2007,310,318,305.1,317.8,5000,77.233
3/7/2007,315,315,303.05,311,1100,75.581
3/6/2007,310,316,300,314.25,6400,76.37
3/5/2007,321,321,300.25,300.25,1900,72.968
3/2/2007,333,333,325,325,6100,78.983
3/1/2007,340,340,330,330,1400,80.198
2/28/2007,330,341.9,323.15,335.1,3400,81.438
2/27/2007,373,373,335,335,3900,81.413
2/26/2007,340,340,330,340,5500,82.628
2/23/2007,355,358,331.6,331.6,4100,80.587
2/22/2007,364,365,352.5,352.5,2800,85.666
2/21/2007,362,365.95,351.1,359.05,3500,87.258
2/20/2007,383,385,357.5,359.8,7300,87.44
2/19/2007,366,384,366,379.7,9600,92.276
2/15/2007,310,355.1,310,355.1,12400,86.298
2/14/2007,317.1,329,317.1,325,3600,78.983
2/13/2007,334.75,341.25,329,330,3600,80.198
2/12/2007,346.3,360,327.5,328.6,3900,79.858
2/9/2007,348.2,354.75,348,349.05,1800,84.828
2/8/2007,366,366,357,357,3900,86.76
2/7/2007,367,367,360,360.45,5800,87.598
2/6/2007,362,375,362,366.4,7200,89.044
2/5/2007,359.95,367,355.25,366.4,10600,89.044
2/2/2007,352,358.7,349,351.75,9200,85.484
2/1/2007,361,363.5,351.5,360,7600,87.489
1/31/2007,361,375,357.1,358,13000,87.003
1/29/2007,332,358.9,331.1,350,11900,85.059
1/25/2007,350.5,350.5,333.25,342.75,2900,83.297
1/24/2007,354,356,345,347.9,4300,84.548
1/23/2007,348,366.1,345,347.5,3600,84.451
1/22/2007,345,353.7,342.05,344,2300,83.6
1/19/2007,348.5,355,345,355,1400,86.274
1/18/2007,350,356,346,346,5600,84.086
1/17/2007,337,345,337,342,6400,83.114
1/16/2007,330,343.9,330,337,5700,81.899
1/15/2007,332.8,332.8,324,324,8200,78.74
1/12/2007,328,333,322.5,327,6300,79.469
1/11/2007,317.5,331.8,317.5,325,21600,78.983
1/10/2007,323,325,318.25,318.25,1500,77.343
1/9/2007,320,327.5,320,324,2100,78.74
1/8/2007,315,320,315,315.1,900,76.577
1/5/2007,320,322.75,314.1,316,1900,76.796
1/4/2007,320,325.7,318,320.8,5400,77.962
1/3/2007,316.5,319.95,313,315,2600,76.553
1/2/2007,313,319,313,319,1700,77.525
12/29/2006,320,320,315.05,318,1400,77.282
12/28/2006,329,329,317,320,2200,77.768
12/27/2006,324.5,324.5,315,321.5,1900,78.132
12/26/2006,310,318,307,315.9,3900,76.771
12/22/2006,312,312,305,305,1800,74.122
12/21/2006,305,310,301,305,1300,74.122
12/20/2006,311,312.7,306,306.25,1100,74.426
12/19/2006,315,321,307.35,309.85,1400,75.301
12/18/2006,320,320.5,310.05,315.4,900,76.65
12/15/2006,315,330,315,322,1400,78.254
12/14/2006,313.5,313.5,304,313.5,1700,76.188
12/13/2006,292,328,290.05,315,2900,76.553
12/12/2006,320,321,302.05,302.05,2000,73.406
12/11/2006,329.5,329.9,320.2,320.2,1900,77.816
12/8/2006,321.05,333,321.05,333,1000,80.927
12/7/2006,321,338.5,313,329.8,17200,80.149
12/6/2006,328.1,332.95,325,332.75,1400,80.866
12/5/2006,332,338,330,333.5,2700,81.049
12/4/2006,338,338,326,330,4900,80.198
12/1/2006,346.95,346.95,338,338,1200,82.142
11/30/2006,355,355,340,340,2700,82.628
11/29/2006,354.9,354.9,345,347.85,1900,84.536
11/28/2006,335.5,350,335.5,347.25,1300,84.39
11/27/2006,345,345,340,340,1600,82.628
11/24/2006,350,351.9,340,348.7,3500,84.743
11/23/2006,345.95,354.9,345.95,350,3900,85.059
11/22/2006,350,355,350,354,4900,86.031
11/21/2006,350,351,350,350,3600,85.059
11/20/2006,353.5,353.5,337,340,1300,82.628
11/17/2006,365,370,355.55,355.55,2800,86.407
11/16/2006,355.4,364,353,359.2,5700,87.294
11/15/2006,355.4,362,355.4,361,2800,87.732
11/14/2006,362,365,355,360.5,2800,87.61
11/13/2006,358,363,355,363,3200,88.218
11/10/2006,349.8,362,349.8,362,6900,87.975
11/9/2006,340,352,340,351,4100,85.302
11/8/2006,353.7,353.9,329.5,343,3400,83.357
11/7/2006,359.75,359.75,340,340,2500,82.628
11/6/2006,348.9,348.9,332,336,1500,81.656
11/3/2006,330,343.5,330,340.85,1600,82.835
11/2/2006,340.8,348.8,340,340,900,82.628
11/1/2006,344,349,340,342.55,1600,83.248
10/31/2006,344.5,359,344,348.7,4000,84.743
10/30/2006,390,390,352,352,2000,85.545
10/27/2006,360,360,355.1,360,800,87.489
10/26/2006,352,360,348.05,352,1200,85.545
10/23/2006,350.25,358,350.25,353,1000,85.788
10/20/2006,350,361.5,342,353.9,3300,86.006
10/19/2006,346,357,346,350,2400,85.059
